City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,beloyarskiy,63.7119,66.6722,14.44,66,20,0.45,RU,1694886644
201,padang,-0.9492,100.3543,27.03,90,69,2.51,ID,1694886541
202,tibati,6.4667,12.6333,20.61,97,98,2.46,CM,1694886645
203,srisailain,16.0833,78.8667,24.33,82,96,1.69,IN,1694886645
204,polyarnyy,69.1989,33.4478,8.15,74,99,1.8,RU,1694886645
205,anshun,26.25,105.9333,17.03,93,1,1.55,CN,1694886497
206,ust-nera,64.5667,143.2,2.79,80,100,2.71,RU,1694886646
207,new norfolk,-42.7826,147.0587,9.72,68,23,6.31,AU,1694886646
208,beruniy,41.6911,60.7525,13.98,58,0,2.06,UZ,1694886646
209,bengkulu,-3.8004,102.2655,23.14,96,38,2.31,ID,1694886646
210,hiratacho,35.4333,132.8167,25.01,91,91,2.32,JP,1694886646
211,villa la angostura,-40.7617,-71.6463,1.45,93,100,7.11,AR,1694886646
212,pilar,-9.5972,-35.9567,27.96,62,73,4.63,BR,1694886647
213,wewak,-3.5534,143.6268,24.94,89,89,3.89,PG,1694886647
214,namibe,-15.1961,12.1522,19.36,89,64,2.26,AO,1694886647
215,nykvarn,59.8,18.3,16.94,72,97,3.42,SE,1694886647
216,chintamani,13.4,78.0667,22.19,84,100,5.3,IN,1694886647
217,punta del este,-34.9667,-54.95,21.06,64,0,5.14,UY,1694886648
218,las lomitas,-24.7096,-60.593,38.96,20,0,8.27,AR,1694886648
219,usinsk,65.9939,57.5281,7.58,95,96,1.94,RU,1694886648
220,olonkinbyen,70.9221,-8.7187,2.27,67,74,1.67,SJ,1694886648
221,plettenberg bay,-34.0527,23.3716,12.48,64,65,10.85,ZA,1694886648
222,carbonear,47.7332,-53.2148,23.91,95,99,3.05,CA,1694886648
223,puerto ayora,-0.7393,-90.3518,27.98,86,98,2.68,EC,1694886649
224,gadani,25.1185,66.7299,29.12,87,77,4.83,PK,1694886649
225,kraaifontein,-33.8478,18.7161,12.8,67,40,5.66,ZA,1694886650
226,bamboo flat,11.7,92.7167,25.05,94,100,1.03,IN,1694886650
227,vila franca do campo,37.7167,-25.4333,23.27,99,19,5.63,PT,1694886600
228,chamical,-30.36,-66.314,34.64,10,0,3.82,AR,1694886650
229,arauco,-37.2463,-73.3175,11.87,75,50,5.61,CL,1694886650
230,cadale,2.7603,46.3222,25.55,80,42,8.12,SO,1694886651
231,sao jose da coroa grande,-8.8978,-35.1478,26.87,67,63,4.88,BR,1694886651
232,bang mun nak,16.0278,100.3792,24.39,97,100,1.73,TH,1694886651
233,jamaame,0.0697,42.745,24.87,82,95,5.7,SO,1694886651
234,ocos,14.5094,-92.1933,29.93,66,93,2.76,GT,1694886652
